"","BaselineProp.clusters","BaselineProp.Freq","PropMean.Control","PropMean.PD","PropRatio","Tstatistic","P.Value","FDR"
"Neurons","Neurons",0.074217814191941,0.0878581337774398,0.0402219755231506,2.1843316404703,2.78040912283202,0.00885031420162152,0.0619521994113507
"Astro","Astro",0.248071486751952,0.227672462775555,0.293196744685427,0.776517703222885,-1.96363243198626,0.0579366042524039,0.202778114883414
"T cells","T cells",0.00415648507498443,0.00325178874750047,0.00501699819801229,0.648154258614008,-0.931463742673618,0.358294128904547,0.68483853586929
"Oligo","Oligo",0.419625317426094,0.419667266779707,0.383197300892219,1.09517281515964,0.775754097516037,0.443349420983287,0.68483853586929
"OPC","OPC",0.0795841119256384,0.0840840195282645,0.0955373440330781,0.88011677924762,-0.691176164865412,0.494228248214046,0.68483853586929
"Micro","Micro",0.155658569306694,0.157904638381249,0.164062781363392,0.962464716671463,-0.548485152537514,0.587004459316534,0.68483853586929
"VC","VC",0.0186862153226966,0.0195616900102846,0.0187668553047206,1.0423531109852,0.286628526197844,0.776166259150656,0.776166259150656
