sample_id,condition,author_cell_type,mean_expression,median_expression,detection_fraction,n_nuclei
s_0118,PD,OPC,0.40624437,0.0,0.3898305084745763,118
s_0118,PD,Oligo,0.0061531635,0.0,0.006711409395973154,596
s_0118,PD,T cells,0.0,0.0,0.0,3
s_0118,PD,VC,0.13913827,0.0,0.1111111111111111,18
s_0119,PD,Astro,0.06013856,0.0,0.05389221556886228,334
s_0119,PD,Micro,0.52881294,0.0,0.28901734104046245,173
s_0119,PD,Neurons,0.0,0.0,0.0,20
s_0119,PD,OPC,0.2525178,0.0,0.3114754098360656,61
s_0119,PD,Oligo,0.013003789,0.0,0.01556420233463035,257
s_0119,PD,T cells,0.0,0.0,0.0,10
s_0119,PD,VC,0.05761733,0.0,0.06666666666666667,15
s_0120,PD,Astro,0.022201937,0.0,0.01015228426395939,591
s_0120,PD,Micro,0.2133645,0.0,0.0781758957654723,307
s_0120,PD,Neurons,0.0,0.0,0.0,27
s_0120,PD,OPC,0.13857609,0.0,0.05652173913043478,230
s_0120,PD,Oligo,0.0,0.0,0.0,427
s_0120,PD,T cells,0.0,0.0,0.0,14
s_0120,PD,VC,0.12750053,0.0,0.058823529411764705,34
s_0127,Control,Astro,0.023256313,0.0,0.017241379310344827,174
s_0127,Control,Micro,0.35620838,0.0,0.25287356321839083,87
s_0127,Control,Neurons,0.0,0.0,0.0,53
s_0127,Control,OPC,0.14339045,0.0,0.13488372093023257,215
s_0127,Control,Oligo,0.0013006501,0.0,0.0014825796886582653,1349
s_0127,Control,T cells,0.0,0.0,0.0,8
s_0127,Control,VC,0.0,0.0,0.0,30
s_0128,Control,Astro,0.0070399786,0.0,0.005504587155963303,545
s_0128,Control,Micro,0.058582734,0.0,0.04258943781942078,587
s_0128,Control,Neurons,0.005819115,0.0,0.011363636363636364,88
s_0128,Control,OPC,0.19897556,0.0,0.18253968253968253,252
s_0128,Control,Oligo,0.016085146,0.0,0.012953367875647668,386
s_0128,Control,VC,0.17337571,0.0,0.15789473684210525,19
s_0129,Control,Astro,0.02548408,0.0,0.02463605823068309,893
s_0129,Control,Micro,0.28901044,0.0,0.18181818181818182,363
s_0129,Control,Neurons,0.0,0.0,0.0,60
s_0129,Control,OPC,0.14552194,0.0,0.14511041009463724,317
s_0129,Control,Oligo,0.0043819584,0.0,0.00411522633744856,1215
s_0129,Control,T cells,0.0,0.0,0.0,14
s_0129,Control,VC,0.09633257,0.0,0.06666666666666667,45
s_0130,Control,Astro,0.023822712,0.0,0.018245004344048653,1151
s_0130,Control,Micro,0.19292863,0.0,0.12472885032537961,922
s_0130,Control,Neurons,0.032838453,0.0,0.026936026936026935,297
s_0130,Control,OPC,0.11039601,0.0,0.09900990099009901,505
s_0130,Control,Oligo,0.008553394,0.0,0.0074801309022907905,2139
s_0130,Control,T cells,0.0,0.0,0.0,19
s_0130,Control,VC,0.08260248,0.0,0.05263157894736842,57
s_0131,Control,Astro,0.040499803,0.0,0.03961848862802641,1363
s_0131,Control,Micro,0.36841068,0.0,0.21706161137440758,1055
s_0131,Control,Neurons,0.04543818,0.0,0.03415783274440518,849
s_0131,Control,OPC,0.30638832,0.0,0.23652694610778444,334
s_0131,Control,Oligo,0.020551497,0.0,0.020598006644518274,1505
s_0131,Control,T cells,0.0,0.0,0.0,8
s_0131,Control,VC,0.13178785,0.0,0.1276595744680851,94
s_0142,Control,Astro,0.0177998,0.0,0.008171603677221655,979
s_0142,Control,Micro,0.10190159,0.0,0.04021937842778794,547
s_0142,Control,Neurons,0.019905062,0.0,0.015873015873015872,189
s_0142,Control,OPC,0.12680882,0.0,0.053811659192825115,223
s_0142,Control,Oligo,0.004169835,0.0,0.0016366612111292963,611
s_0142,Control,T cells,0.0,0.0,0.0,4
s_0142,Control,VC,0.013765814,0.0,0.009523809523809525,105
s_0147,Control,Astro,0.003955887,0.0,0.003278688524590164,305
s_0147,Control,Micro,0.038043883,0.0,0.0297029702970297,202
s_0147,Control,Neurons,0.036290627,0.0,0.02857142857142857,350
s_0147,Control,OPC,0.32115915,0.0,0.27125506072874495,247
s_0147,Control,Oligo,0.008788732,0.0,0.008918617614269788,897
s_0147,Control,T cells,0.0,0.0,0.0,12
s_0147,Control,VC,0.0,0.0,0.0,65
s_0151,Control,Astro,0.01548296,0.0,0.016877637130801686,711
s_0151,Control,Micro,0.3742771,0.0,0.25462962962962965,216
s_0151,Control,Neurons,0.028616484,0.0,0.03571428571428571,28
