"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","genes"
0.729956579901535,-1.52795228391723,0.025,0.045,1,"GPIHBP1"
0.73038403902246,0.270604131789276,0.077,0.056,1,"KAT8"
0.730496545849994,-0.432220337617327,0.015,0.014,1,"C17orf75"
0.730549683729309,0.356877823256295,0.011,0.009,1,"KCNC1"
0.731006768152614,-0.870202690613069,0.014,0.016,1,"STAG3"
0.731076355309746,0.3582938916047,0.056,0.039,1,"CCDC18"
0.731106553697571,-0.1975419862596,0.043,0.044,1,"AL592295.4"
0.731112762146831,0.567608687629606,0.016,0.008,1,"KLF10"
0.731282508483631,0.617780182996543,0.026,0.014,1,"IFT140"
0.731600047115805,0.323227113332127,0.055,0.041,1,"CASP1"
0.731718638922825,-0.327850669320045,0.044,0.046,1,"DHX8"
0.73185309586984,0.167103525507581,0.065,0.051,1,"TRIM26"
0.73205170600829,2.30288624521014,0.012,0.002,1,"DIRAS3"
0.732061479258512,-0.432746340705394,0.011,0.009,1,"ALG10"
0.732206549791233,0.25670501465999,0.081,0.062,1,"RPS27L"
0.732465259707858,-0.253843086468659,0.033,0.032,1,"TMEM39B"
0.732840467093963,0.29438113160117,0.026,0.018,1,"ZNF250"
0.732903640839547,-0.285270536388545,0.024,0.02,1,"CCDC134"
0.733705911835795,-0.238313244253639,0.046,0.039,1,"INO80E"
0.73371841574853,-0.272908155660865,0.018,0.016,1,"DBF4"
0.733817785344669,0.460459235073984,0.127,0.084,1,"COX5B"
0.734097441841495,0.21495626313081,0.053,0.038,1,"RAB9A"
0.734279828842035,-0.120859525640088,0.079,0.076,1,"ACSF3"
0.734357805373595,-1.9517440792502,0.006,0.011,1,"SGK2"
0.735294430496039,-0.406401507816116,0.008,0.01,1,"MSANTD3-TMEFF1"
0.735600036615845,0.302005376761271,0.037,0.028,1,"SHKBP1"
0.735670332904947,0.160810549521698,0.029,0.019,1,"JMJD6"
0.735701300339069,0.509050023430571,0.015,0.011,1,"CSTF2T"
