"logFC","logCPM","F","PValue","FDR","gene","neglog10FDR"
-1.66794923697825,4.14250388567999,39.4822494742928,2.38438426405629e-08,0.000151539144120852,"UNC13C",3.81947516993495
1.51111028534219,4.58414946688614,40.1309799395852,2.92461920526588e-08,0.000151539144120852,"CRYZ",3.81947516993495
-1.78616490264167,4.42192642444529,34.1809809473725,1.29629605132927e-07,0.000447783865997509,"KCNJ6",3.34893155844454
1.51474378967283,4.74720237952981,33.9498979301215,1.88826842240509e-07,0.000489203141534598,"LINC00862",3.31051076270125
3.18593784066158,3.85503123217888,30.8968612106686,4.05307400397676e-07,0.000794846480905559,"P4HA2",3.09971674421628
-1.06349116412046,7.45702676100845,32.6991551651107,4.60202536469493e-07,0.000794846480905559,"CIRBP",3.09971674421628
1.09188481036249,6.77632256552074,30.3791895019941,9.83409589652283e-07,0.00145586765393809,"NAA16",2.83687810289166
-0.873359384218849,6.5434962966543,29.2256438493382,1.43694512368482e-06,0.00174357115937609,"FSCN1",2.75856032331311
1.41754433510005,5.77346869619406,28.6855259373225,1.60134104803806e-06,0.00174357115937609,"PPID",2.75856032331311
0.677646681136361,7.95911796647433,28.7600586383853,1.68249653515014e-06,0.00174357115937609,"PAPOLA",2.75856032331311
1.24685544801919,3.78114271866744,26.9403767570056,1.8927937833606e-06,0.00178318381608781,"IL27RA",2.74880388610232
-1.41533839393705,4.21942907128118,25.2707446241176,3.35649699002928e-06,0.00247745568056998,"CLSTN2",2.60599410590669
-1.11414194222723,3.52288975340534,25.0167558516112,3.6779263426151e-06,0.00247745568056998,"HPN",2.60599410590669
1.78234749312936,3.66608731596857,25.2065930799739,3.76326763979139e-06,0.00247745568056998,"LSMEM1",2.60599410590669
2.21034723620521,6.27911139578884,25.5925086685693,3.91724767068254e-06,0.00247745568056998,"CLIC2",2.60599410590669
2.0610132865611,7.87624468126197,26.2289080320945,4.01772881507701e-06,0.00247745568056998,"CHORDC1",2.60599410590669
0.907898091424174,8.2838312319019,26.1426800013372,4.15432579527553e-06,0.00247745568056998,"SNCA",2.60599410590669
1.93666178189874,6.55639310689301,25.8837244777423,4.52712119556482e-06,0.00247745568056998,"MRPS6",2.60599410590669
1.4682687556788,6.54992205892281,25.5847141220303,4.54228099303576e-06,0.00247745568056998,"NEK10",2.60599410590669
-1.09507720010363,4.41211409396763,24.5802292203325,5.15488481491666e-06,0.0026573479036003,"SLC25A45",2.5755515834434
1.59074927175497,3.75098527193671,24.1384029103726,5.38495667042423e-06,0.0026573479036003,"ANKDD1B",2.5755515834434
-1.25522470200138,6.69422707153483,25.2140378503207,5.75277861935766e-06,0.0027098202196547,"IFI44L",2.5670595210082
-1.3951788645486,3.38531832417581,23.748762153546,6.26044608132623e-06,0.00272262743292467,"RSAD2",2.56501178388778
0.703798167082475,7.91995974924023,24.6806110795907,6.96228673808915e-06,0.00272262743292467,"SLC38A2",2.56501178388778
-1.56719975730735,4.93033079636681,24.3500490301561,7.01070309866853e-06,0.00272262743292467,"IL21R",2.56501178388778
2.06435713601374,4.51527527340812,23.4115836509834,7.07440942861729e-06,0.00272262743292467,"MIR155HG",2.56501178388778
2.09358607032394,3.55613042940595,23.5277403556649,7.09359651538801e-06,0.00272262743292467,"LUCAT1",2.56501178388778
1.2196627683845,4.51683188930053,23.8098121161133,7.46131454006452e-06,0.00276148580638174,"CLEC1A",2.55885718464234
-0.715453128000147,6.31665041565443,24.308508476667,8.00661629185825e-06,0.002861122918363,"CUEDC1",2.54346348381653
1.47995110284324,4.82229255340501,23.5866010508192,8.43665238137971e-06,0.0029143009542746,"LRIF1",2.53546560149128
0.762227623161503,7.28361681277704,23.9759614508245,8.98990522314808e-06,0.0030052383170156,"ZBTB1",2.52212108250952
0.984932620541383,7.86191413097836,23.8336589961397,9.46010852313021e-06,0.00306359701953745,"MIB1",2.51376836165729
4.22036298193457,5.54325193900133,24.0700889801764,1.03891200033661e-05,0.00326249850287525,"HSPE1-MOB4",2.48644967894659
-1.00471644412272,6.41256192681528,22.980094114799,1.24360277832805e-05,0.00379042811523929,"ID2",2.42131173525998
2.5476106912138,5.60507837154589,22.113138178517,1.4008085719183e-05,0.00406805683477313,"BACE2",2.39061298818392
2.19400099916722,6.75061422541602,22.686478540853,1.41320125496316e-05,0.00406805683477313,"FKBP4",2.39061298818392
1.60372889463857,4.07130982688111,22.0527972408252,1.50871675247441e-05,0.0042256301907817,"CD247",2.37410851323033
1.00617704660612,5.44467444700466,22.1244040243336,1.70601920121837e-05,0.00465249394269103,"TRAF6",2.33231418362601
1.55347064830593,4.5671242396252,21.2905147949112,1.96015121453324e-05,0.00514756037452987,"ACTN1",2.28839855094181
0.723534641277586,7.72417869047687,21.7572347525688,2.02638636887341e-05,0.00514756037452987,"ANAPC16",2.28839855094181
1.28480419833467,5.75020634252361,21.6316946271651,2.03657218330334e-05,0.00514756037452987,"C17orf67",2.28839855094181
1.25685907835696,5.50820953678391,21.4171084778041,2.21311230513045e-05,0.00546059114715877,"UTP23",2.26276033933702
-1.3201882807465,3.66128225293952,20.6974027572868,2.28205517254329e-05,0.00549975296582932,"PLEKHG5",2.25965681741241
1.26266747469858,7.0271461956367,21.1466952644561,2.54149257414849e-05,0.00578666589528626,"NUPR1",2.23757159177198
1.35598505820093,7.40940542603018,21.1106255557361,2.57823105732937e-05,0.00578666589528626,"DNAJA1",2.23757159177198
-1.20737034283953,3.74938765904392,20.2281212133642,2.63119565903116e-05,0.00578666589528626,"EBF1",2.23757159177198
-1.14458673626658,3.80264587595178,20.3488161082964,2.64598217126624e-05,0.00578666589528626,"SULT1A1",2.23757159177198
-2.01122370712021,4.62243460594829,20.4018506835276,2.68450194752223e-05,0.00578666589528626,"CH25H",2.23757159177198
1.12058647691739,4.76054650151334,20.6355250781089,2.73614425233066e-05,0.00578666589528626,"RAB3IP",2.23757159177198
0.45992255387851,7.16056413990374,20.8429833718993,2.85723925268207e-05,0.00590556009447871,"PCF11",2.22873890678779
0.944906146683983,6.02094660869939,20.767849655106,2.92771974592416e-05,0.00590556009447871,"CCNG2",2.22873890678779
-1.26678978847011,3.31714018863532,19.9579051684731,2.96332263739161e-05,0.00590556009447871,"VNN2",2.22873890678779
