gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
FIGN,18.465400667190593,1.1250249358332842,0.31497067911198445,3.5718402074921194,0.00035448168278921923,0.042770151273005125
GCH1,29.95409351900589,-1.2040569088800903,0.3375465683763672,-3.567083838747716,0.00036097601568731375,0.04319078027698709
SYT1,190.0381526380054,-1.7961592582854444,0.504959085195644,-3.5570391957390584,0.0003750582129577108,0.04450484150121332
SLC10A4,4.665451836842331,-2.419854368411922,0.6815216638689382,-3.550663899184984,0.00038426079240197383,0.04488976868888162
CDC123,97.19908044628318,-0.33438061074690906,0.09417945407263845,-3.5504624022242575,0.000384555059808639,0.04488976868888162
FAM19A1,12.006682939600596,1.3513869554348796,0.3815861706400863,3.5414987738366275,0.0003978607078069767,0.046068419699133646
NWD1,7.4868186559588725,1.407812447260562,0.399929354711148,3.520152823683986,0.00043129821483482174,0.04681002989376647
ITGB4,11.255441335401573,1.213177225484337,0.34397787045673284,3.5269048670877683,0.00042044780302716485,0.04681002989376647
OCRL,48.34285127598297,-0.46259121086567323,0.13093215514367282,-3.533060388092356,0.00041077863037082665,0.04681002989376647
GPRC5B,51.7520810172683,1.0110692098781238,0.2871182166158185,3.521438736264496,0.00042921183193845376,0.04681002989376647
ADAMTSL4,10.869527324486716,-0.8855393140955766,0.25108364743949785,-3.5268697230032067,0.0004205036130371529,0.04681002989376647
DENND3,995.0327749462112,-0.563965014736716,0.16014984311337074,-3.5214834043732584,0.0004291395279213734,0.04681002989376647
PLSCR4,6.51742374280226,1.0028235830934182,0.2842017710614539,3.5285620471259285,0.0004178239838714991,0.04681002989376647
WDR49,16.45212905144954,1.2726248945969625,0.3616709959934615,3.51873638941169,0.000433607325245225,0.04681002989376647
SRPX,4.029721472037767,1.405400264350946,0.3986988634908646,3.5249668184297396,0.00042353583983696956,0.04681002989376647
MFSD13A,11.772386416317245,-0.6136006224659468,0.174667108953181,-3.5129717675147454,0.00044312455935904626,0.047480465845352135
PSMD12,54.873463327912376,-0.5684801130395375,0.16194522615007567,-3.510323376329249,0.0004475620331971063,0.047600708686252234
ABCC3,35.041573583647164,1.5080853436344257,0.43039327906360714,3.503970477688496,0.00045837617098680916,0.048176817385700364
HIST1H2BC,28.185851986147604,-1.4534316759730357,0.4148858723461066,-3.5032084070593568,0.00045968964910439827,0.048176817385700364
ZNF706,141.33999117456065,0.40915082340508746,0.117040305348041,3.4958113120809267,0.0004726227798126255,0.04917331791702664
CPAMD8,10.603948878065461,1.1468506448885947,0.32854934339676783,3.490649632812132,0.00048184770206564155,0.04930694967833145
DOK6,21.3739074857266,-1.21000404083649,0.34677131442772563,-3.489342948776924,0.0004842094932890886,0.04930694967833145
NT5DC1,96.55637574979222,0.5239110365418141,0.15002838535238788,3.492079417579865,0.0004792757229757934,0.04930694967833145
GHR,6.967345560438115,0.9814941760442102,0.28205850543564814,3.479753870666874,0.000501874621843488,0.05074588605935775
