Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Cartilage Development (GO:0051216),0.8152925319449822,1.6349208842716105,0.00477326968973747,0.13881051930512647,0.832,8/31,5.72%,NFIB;ITGB8;CHI3L1;FGFR3;FGF2;CD44;ZBTB16;SOX9
prerank,Regulated Exocytosis (GO:0045055),-0.8031162797475868,-1.6335120967084646,0.0035587188612099642,0.12783215924497474,0.543,12/43,6.28%,CPLX1;RAB3A;SYT13;SNAP25;SYNGR3;RIMS3;CPLX2;RIMS1;STXBP1;PLEK;CDK5;RIMS2
prerank,Calcium-Ion Regulated Exocytosis (GO:0017156),-0.9071079311148332,-1.6276770962813185,0.0,0.13430969368448223,0.604,8/19,3.20%,SYT1;SYT4;RAB3A;SYT5;SYT13;RIMS3;SYT7;RIMS1
prerank,Regulation Of SMAD Protein Signal Transduction (GO:0060390),0.8606592082529798,1.625078908108291,0.0022471910112359553,0.15921192816201094,0.883,3/19,3.49%,RBPMS;WWTR1;BMP7
prerank,BMP Signaling Pathway (GO:0030509),0.8261775045085854,1.623960358060825,0.004424778761061947,0.15370716395636383,0.89,7/29,7.85%,TGFBR3;BMPR1B;RGMA;BMP7;RGMB;TGFB2;ACVR2B
prerank,Skeletal System Development (GO:0001501),0.7029240262430632,1.6238486124352027,0.0,0.14576336870147916,0.89,19/80,8.45%,COL27A1;ITGB8;CHI3L1;GJA1;FBN1;FGFR3;CD44;KIAA1217;GLI2;BMP7;FGFR2;PKDCC;PTH1R;COL9A2;ZBTB16;SOX9;TGFB2;FGFR1;SOX5
prerank,Signal Release From Synapse (GO:0099643),-0.8423350615708031,-1.6216099520003338,0.0017452006980802793,0.14298165815859842,0.658,10/31,5.74%,SYT1;CPLX1;RAB3A;SLC32A1;SNAP25;SYN1;CPLX2;RIMS1;STXBP1;CDK5
prerank,Mitotic Spindle Organization (GO:0007052),-0.7159153683331662,-1.6186466218635462,0.0,0.1401743259785076,0.682,16/76,8.53%,CENPE;STMN1;KIF4A;MAP9;TTK;KIFC1;KIF11;DCTN2;NDC80;CCNB1;PLK3;KPNB1;DYNC1H1;CDCA8;SPC25;SBDS
prerank,Regulation Of Vesicle-Mediated Transport (GO:0060627),-0.727630483343516,-1.6180867502515242,0.005208333333333333,0.13052011571306968,0.685,21/72,13.32%,SYT1;CPLX1;RAB3A;RAB3C;OCRL;CPLX2;NSF;PTPN1;RIMS2;AP2S1;PACSIN1;USP6;NELL1;BET1L;TPCN2;RINT1;RAB11A;SPHK1;DNAJC5;MAP2K2;RAB13
prerank,Negative Regulation Of Neurogenesis (GO:0050768),-0.8667120914926681,-1.6146784074733518,0.005244755244755245,0.1298354155787,0.713,3/22,0.70%,IL1B;TNF;THY1
prerank,Oligodendrocyte Differentiation (GO:0048709),0.89926013583232,1.608574150645038,0.011312217194570135,0.1885649270160768,0.951,6/15,5.72%,SOX8;PTPRZ1;SOX13;MYRF;SOX10;SOX9
prerank,Positive Regulation Of DNA Repair (GO:0045739),0.6912648665719732,1.6047744236923915,0.004662004662004662,0.19310852752104857,0.958,6/79,2.20%,NPAS2;FMN2;DPF3;EYA1;EGFR;EYA2
prerank,Peptidyl-Tyrosine Modification (GO:0018212),0.768646939649635,1.6030921876918212,0.011904761904761904,0.19042757697411464,0.961,14/43,8.70%,EFEMP1;ERBB4;EGFR;FYN;FGFR3;PDGFRB;FGFR2;PKDCC;RELN;EPHA3;FGFR1;DDR2;FER;INSR
prerank,Negative Regulation Of Smoothened Signaling Pathway (GO:0045879),0.8800656341103718,1.6023176668447927,0.0045351473922902496,0.1846014258147599,0.961,5/20,6.24%,GLI3;RFX4;GLI2;PTCH1;PTCH2
prerank,Microtubule Cytoskeleton Organization Involved In Mitosis (GO:1902850),-0.7584118240996031,-1.6021360242369989,0.0,0.15931335431978236,0.814,14/52,8.53%,CENPE;STMN1;KIF4A;TTK;KIF11;DCTN2;NDC80;CCNB1;PLK3;KPNB1;DYNC1H1;CDCA8;SPC25;SBDS
