Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Cartilage Development (GO:0051216),8.152925e-01,1.634921e+00,4.773270e-03,1.388105e-01,8.320000e-01,8/31,5.72%,NFIB;ITGB8;CHI3L1;FGFR3;FGF2;CD44;ZBTB16;SOX9
prerank,Regulated Exocytosis (GO:0045055),-8.031163e-01,-1.633512e+00,3.558719e-03,1.278322e-01,5.430000e-01,12/43,6.28%,CPLX1;RAB3A;SYT13;SNAP25;SYNGR3;RIMS3;CPLX2;RIMS1;STXBP1;PLEK;CDK5;RIMS2
prerank,Calcium-Ion Regulated Exocytosis (GO:0017156),-9.071079e-01,-1.627677e+00,0.000000e+00,1.343097e-01,6.040000e-01,8/19,3.20%,SYT1;SYT4;RAB3A;SYT5;SYT13;RIMS3;SYT7;RIMS1
prerank,Regulation Of SMAD Protein Signal Transduction (GO:0060390),8.606592e-01,1.625079e+00,2.247191e-03,1.592119e-01,8.830000e-01,3/19,3.49%,RBPMS;WWTR1;BMP7
prerank,BMP Signaling Pathway (GO:0030509),8.261775e-01,1.623960e+00,4.424779e-03,1.537072e-01,8.900000e-01,7/29,7.85%,TGFBR3;BMPR1B;RGMA;BMP7;RGMB;TGFB2;ACVR2B
prerank,Skeletal System Development (GO:0001501),7.029240e-01,1.623849e+00,0.000000e+00,1.457634e-01,8.900000e-01,19/80,8.45%,COL27A1;ITGB8;CHI3L1;GJA1;FBN1;FGFR3;CD44;KIAA1217;GLI2;BMP7;FGFR2;PKDCC;PTH1R;COL9A2;ZBTB16;SOX9;TGFB2;FGFR1;SOX5
prerank,Signal Release From Synapse (GO:0099643),-8.423351e-01,-1.621610e+00,1.745201e-03,1.429817e-01,6.580000e-01,10/31,5.74%,SYT1;CPLX1;RAB3A;SLC32A1;SNAP25;SYN1;CPLX2;RIMS1;STXBP1;CDK5
prerank,Mitotic Spindle Organization (GO:0007052),-7.159154e-01,-1.618647e+00,0.000000e+00,1.401743e-01,6.820000e-01,16/76,8.53%,CENPE;STMN1;KIF4A;MAP9;TTK;KIFC1;KIF11;DCTN2;NDC80;CCNB1;PLK3;KPNB1;DYNC1H1;CDCA8;SPC25;SBDS
prerank,Regulation Of Vesicle-Mediated Transport (GO:0060627),-7.276305e-01,-1.618087e+00,5.208333e-03,1.305201e-01,6.850000e-01,21/72,13.32%,SYT1;CPLX1;RAB3A;RAB3C;OCRL;CPLX2;NSF;PTPN1;RIMS2;AP2S1;PACSIN1;USP6;NELL1;BET1L;TPCN2;RINT1;RAB11A;SPHK1;DNAJC5;MAP2K2;RAB13
prerank,Negative Regulation Of Neurogenesis (GO:0050768),-8.667121e-01,-1.614678e+00,5.244755e-03,1.298354e-01,7.130000e-01,3/22,0.70%,IL1B;TNF;THY1
prerank,Oligodendrocyte Differentiation (GO:0048709),8.992601e-01,1.608574e+00,1.131222e-02,1.885649e-01,9.510000e-01,6/15,5.72%,SOX8;PTPRZ1;SOX13;MYRF;SOX10;SOX9
prerank,Positive Regulation Of DNA Repair (GO:0045739),6.912649e-01,1.604774e+00,4.662005e-03,1.931085e-01,9.580000e-01,6/79,2.20%,NPAS2;FMN2;DPF3;EYA1;EGFR;EYA2
prerank,Peptidyl-Tyrosine Modification (GO:0018212),7.686469e-01,1.603092e+00,1.190476e-02,1.904276e-01,9.610000e-01,14/43,8.70%,EFEMP1;ERBB4;EGFR;FYN;FGFR3;PDGFRB;FGFR2;PKDCC;RELN;EPHA3;FGFR1;DDR2;FER;INSR
prerank,Negative Regulation Of Smoothened Signaling Pathway (GO:0045879),8.800656e-01,1.602318e+00,4.535147e-03,1.846014e-01,9.610000e-01,5/20,6.24%,GLI3;RFX4;GLI2;PTCH1;PTCH2
prerank,Microtubule Cytoskeleton Organization Involved In Mitosis (GO:1902850),-7.584118e-01,-1.602136e+00,0.000000e+00,1.593134e-01,8.140000e-01,14/52,8.53%,CENPE;STMN1;KIF4A;TTK;KIF11;DCTN2;NDC80;CCNB1;PLK3;KPNB1;DYNC1H1;CDCA8;SPC25;SBDS
prerank,DNA-templated DNA Replication (GO:0006261),-7.337869e-01,-1.602083e+00,0.000000e+00,1.489040e-01,8.140000e-01,10/65,5.45%,MCM10;ORC6;CDC45;GINS2;MCM6;WDHD1;ORC1;BLM;RFC3;MCM2
